bw,red,green,blue
0.722,0.636,0.664,0.592
3.411,1.034,2.697,0.721
6.714,1.759,4.804,0.98
9.506,2.314,6.855,1.235
12.62,2.954,9.226,1.287
15.8,3.58,11.42,1.567
19.07,4.25,13.6,1.687
21.99,4.782,15.8,2.014
24.94,5.461,17.94,2.158
28.13,6.104,20.21,2.403
31.33,6.821,22.37,2.572
34.34,7.4,24.5,2.858
37.38,8.078,26.91,2.942
40.55,8.801,29.02,3.245
43.45,9.452,31.25,3.451
46.74,9.986,33.56,3.486
49.95,10.78,35.82,3.738
53.16,11.48,38.35,4.051
56.21,12.05,40.51,4.306
59.56,12.83,42.95,4.386
